Occode	Level1	Level2	Level3
323	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	LEADEN GOODS MANUFACTURE (VARIOUS)
324	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	ZINC GOODS WORKERS
325	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	BRASS BRONZE IMPLEMENT MAKERS
326	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	"BRASS, BRONZE GOODS WORKERS"
327	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	BRASS CLASP BUCKLE HINGE MAKERS
328	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	IRON DOMESTIC IMPLEMENT MAKERS
329	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	IRON CLASP BUCKLE HINGE MAKERS
330	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	IRON FENCE AND GATE MAKER
331	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	OTHER IRON GOODS MAKERS
332	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	FIRE PROOF SAFE MAKER
333	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	SPRING MAKER
334	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	IRON WORKERS (UNDEFINED)
335	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	OTHER IMPLEMENT MAKERS
336	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	TIN WORKERS
337	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	METAL BURNISHERS (UNDEFINED)
338	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	FANCY CHAIN RING GILT TOY MAKERS
339	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	OTHER METAL WORKERS
340	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	MIXED OR UNSPECIFIED METALS - TUBE MANUFACTURE
341	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	BATH MAKER
342	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	CLASP BUCKLE HINGE MAKERS - NOT BRASS OR IRON
343	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	WHITESMITHS
344	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	MISCELLANEOUS METAL TRADES	SHACKLE MAKERS
345	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIP BOAT PLATERS RIVETTERS
346	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	METAL SHIPS - WORKERS IN IRON
347	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	FITTERS (SHIPS)
348	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIPWRIGHTS - WOOD SHIPS
349	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIPWRIGHTS - METAL SHIPS
350	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	WOOD SHIPS - WORKER IN WOOD
351	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	"MAST, YARD, OAR, BLOCK MAKER"
352	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIP BOAT PAINTERS (WOOD)
353	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIP BOAT PAINTERS (IRON)
354	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIPYARD LABOURERS (UNDEFINED)
355	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	OTHERS IN SHIP/BOAT BUILDING - WOOD (DEFAULT)
356	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	OTHERS IN SHIP/BOAT BUILDING - METAL
357	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	RIGGERS (SHIPS)
358	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SHIP CHANDLER
359	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	SHIPS AND BOATS	SAILMAKERS
360	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	"RAILWAY--COACH, WAGON MAKER"
361	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	TRAM CAR MAKER
362	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	"BICYCLE MAKERS, BICYCLE REPAIRERS"
363	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	MOTOR CAR CHASSIS MAKER: MOTOR CAR MECHANIC
364	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	MOTOR CAR BODY MAKER
365	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	"COACH, CARRIAGE--MAKER"
366	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	WHEELWRIGHT
367	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	CARTWRIGHTS
368	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	VEHICLES	PERAMBULATOR MAKER
369	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	"IRONMONGER; HARDWARE--DEALER, MERCHANT"
370	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	GENERAL HOUSEHOLD APPLIANCE DEALERS
371	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	DEALERS IN PRINTERS MATERIALS
372	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	DEALERS IN ELECTRICAL APPARATUS
373	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	OFFICE MACHINERY DEALERS
374	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	BICYCLE DEALERS
375	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	MOTOR CAR DEALERS
376	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	DEALERS IN COPPER
377	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	"DEALERS IN TIN, TINPLATE"
378	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	ZINC DEALERS
379	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	LEAD DEALERS
380	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	METAL DEALERS
381	"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"	DEALERS	"OTHER DEALERS IN MACHINES, IMPLEMENTS ETC."
382	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	PRECIOUS METALS AND JEWELLERY	GOLD AND SILVERSMITHS JEWELLERS (NOT DEALERS)
383	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	PRECIOUS METALS AND JEWELLERY	LAPIDARIES AND OTHER PRECIOUS MATERIAL WORKERS
384	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	PRECIOUS METALS AND JEWELLERY	GOLD AND SILVER BEATERS
385	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	PRECIOUS METALS AND JEWELLERY	OTHER WORKERS GOLD SILVER JEWELLERY
386	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	WATCH AND CLOCK MAKERS
387	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	PHILOSOPHICAL INSTRUMENT MAKERS (SCIENTIFIC AND OPTICAL)
388	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	PHOTOGRAPHIC APPARATUS MAKERS
389	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	WEIGHING AND MEASURING MACHINE MAKERS
390	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	TINMEN (METER MAKING)
391	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	DENTAL INSTRUMENT AND APPARATUS MAKERS
392	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	WATCHES AND SCIENTIFIC INSTRUMENTS	SURGICAL INSTRUMENT AND APPARATUS MAKERS
393	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	MUSICAL INSTRUMENTS	PIANO ORGAN MAKERS
394	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	MUSICAL INSTRUMENTS	OTHER MUSICAL INSTRUMENT MAKERS
395	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	TACKLE FOR SPORTS AND GAMES	TOY MAKERS
396	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	TACKLE FOR SPORTS AND GAMES	FISHING TACKLE MAKERS
397	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	TACKLE FOR SPORTS AND GAMES	APPARATUS FOR OTHER GAMES MAKERS
398	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	GOLD AND SILVERSMITHS JEWELLERS (DEALERS)
399	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	MUSICAL INSTRUMENT DEALERS
400	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	TOY DEALERS
401	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	FISHING TACKLE DEALERS
402	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	APPARATUS FOR OTHER GAMES DEALERS
403	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	"PHOTOGRAPHIC APPARATUS, PHILOSOPHICAL INSTRUMENT (SCIENTIFIC AND OPTICAL) - DEALERS"
404	"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"	DEALERS	WEIGHING AND MEASURING MACHINE DEALERS
405	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	BUILDERS
406	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	THATCHERS (NOT AGRICULTURE)
407	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	BUILDER'S LABOURER
408	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	BUILDERS' EXCAVATORS
409	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"CARPENTER, JOINER"
410	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"CARPENTER'S, JOINER'S--LABOURER"
411	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	STOVE SETTERS FURNACE OVEN LINERS
412	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	BRICKLAYER
413	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	BRICKLAYER'S LABOURER
414	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	MASON
415	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	MASON'S LABOURER
416	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	SLATERS & TILERS
417	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	PLASTERER
418	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	PLASTERER'S LABOURER
419	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	WHITEWASHERS
420	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	PAPERHANGERS
421	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"PAINTERS, DISTEMPERERS & DECORATORS"
422	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	GLAZIERS LEAD WINDOW MAKERS
423	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"ARCHITECTURAL, MONUMENTAL--CARVER, SCULPTOR"
424	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	MONUMENTAL MASON
425	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"PLUMBER, PIPE FITTER"
426	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	GASFITTER
427	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"HOUSE BUILDING, ETC.,"	"LOCKSMITH, BELLHANGER"
428	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	CONTRACTORS: PUBLIC WORKS: SEWER DRAINAGE DOCK HARBOUR CANAL
429	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	RAILWAY CONTRACTORS
430	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	POND RESERVOIR MAKERS
431	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	SEA WALL GROYNE LABOURERS PILE DRIVERS
432	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	RAILWAY LABOURERS NAVVIES (CONTRACTORS LABOURERS) DEFAULT
433	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	"WELL, MINE--SINKER, BORER"
434	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	"ROAD--CONTRACTOR, SURVEYOR, INSPECTOR"
435	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	PAVIORS
436	"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"	"OTHER WORKS OF CONSTRUCTION, AND ROADS"	ROAD LABOURERS
437	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	CABINET MAKERS
438	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	FURNITURE AND FITTINGS - OTHERS
439	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	FRENCH POLISHER
440	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	UPHOLSTERER
441	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	HOT WATER APPARATUS PIPE JOINTERS
442	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	HOUSE & SHOP FITTINGS MAKERS
443	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	REFRIGERATOR MAKER
444	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	UNDERTAKER; FUNERAL FURNITURE MAKER
445	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	WOOD CARVER
446	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	WOOD GILDER
447	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	WILLOW CANE AND RUSH WORKERS
448	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	"CANE, RUSH, STRAW - OTHER WORKERS"
449	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	WILLOW CANE AND RUSH DEALERS
450	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	DEALER IN WORKS OF ART
451	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	FURNITURE BROKERS DEALERS
452	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	"FURNITURE, FITTINGS, AND DECORATIONS"	HOUSE & SHOP FITTINGS DEALERS
453	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	SAWYER; WOOD CUTTING MACHINIST
454	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	"LATH, WOODEN FENCE, HURDLE-MAKER"
455	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	WOOD TURNER
456	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	"WOODEN BOX, PACKING CASE--MAKER"
457	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	"COOPER; HOOP--MAKER, BENDER"
458	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	"CORK, BARK-- CUTTER, WORKER"
459	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	TIMBER WOOD WORKERS
460	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	BESOM MAKER
461	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	OTHER WORKERS IN WOOD
462	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	TIMBER MERCHANTS WOOD DEALERS
463	"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"	WOOD AND BARK	CORK AND BARK DEALERS
464	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, PLAIN TILE, TERRA-COTTA--MAKER"
465	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	"PLASTER, CEMENT--MANUFACTURE"
466	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	EARTHENWARE FIGURE AND IMAGE MAKERS
467	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	"EARTHENWARE, CHINA, PORCELAIN--MANUFACTURE"
468	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	"SHEET, PLATE--GLASS MANUFACTURE"
469	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	GLASS BOTTLE MANUFACTURE
470	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	OTHER WORKERS IN GLASS MANUFACTURE
471	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	BRICK DEALERS
472	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	PLASTER AND CEMENT DEALERS
473	"PERSONS WORKING AND DEALING IN BRICK, CEMENT, POTTERY, AND GLASS"	"BRICK, CEMENT, POTTERY, AND GLASS"	"EARTHENWARE, CHINA, GLASS--DEALER"
474	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	COLOURING MATTER	DYE AND PAINT MANUFACTURE
475	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	COLOURING MATTER	INK AND BLACKING MANUFACTURE
476	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	EXPLOSIVES AND MATCHES	"GUNPOWDER, GUNCOTTON, EXPLOSIVE SUBSTANCE--MANUFACTURE"
477	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	EXPLOSIVES AND MATCHES	"CARTRIDGE, FIREWORKS, EXPLOSIVE ARTICLE--MANUFACTURE"
478	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	EXPLOSIVES AND MATCHES	LUCIFER MATCH MANUFACTURE
479	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"SALT, DRUGS, AND OTHER CHEMICALS AND COMPOUNDS"	SALT MAKERS AND DEALERS
480	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"SALT, DRUGS, AND OTHER CHEMICALS AND COMPOUNDS"	MANUFACTURING CHEMIST
481	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"SALT, DRUGS, AND OTHER CHEMICALS AND COMPOUNDS"	ALKALI MANUFACTURE
482	"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"	"SALT, DRUGS, AND OTHER CHEMICALS AND COMPOUNDS"	CHEMISTS DRUGGISTS
